test name, construction, rendering, total
material regular/AmbientLight, 0.1133546, 10.4164982, 10.5298528
material regular/EnvironmentLight, 0.00211, 25.8880353, 25.8901453
material regular/AmbientOcclusion, 0.0009902, 22.7707763, 22.7717665
material regular/AmbientOclusionEnvironmentLight, 0.0008579, 44.1938009, 44.1946588
material regular/matte, 0.0009365, 14.0714232, 14.0723597
material regular/phongReflective, 0.0009126, 19.1647864, 19.165699
material regular/phongPoint, 0.0010831, 14.7369904, 14.7380735
material regular/phongDirectional, 0.0011623, 13.7731299, 13.7742922
material regular/phongPointFar, 0.0010313, 11.8881952, 11.8892265
material regular/phongDirectionalFar, 0.0010802, 10.6169011, 10.6179813
material regular/matteGlossyReflective, 0.0012945, 24.9721965, 24.973491
material regular/glossy, 0.0010114, 50.1657275, 50.1667389
material multi/AmbientLight, 0.0001571, 11.49551, 11.4956671
material multi/EnvironmentLight, 0.0008259, 28.8075118, 28.8083377
material multi/AmbientOcclusion, 0.00068, 23.5222651, 23.5229451
material multi/AmbientOclusionEnvironmentLight, 0.0012087, 44.4912631, 44.4924718
material multi/matte, 0.0001489, 14.0054963, 14.0056452
material multi/phongReflective, 0.000164, 19.6935698, 19.6937338
material multi/phongPoint, 0.0001796, 15.5958639, 15.5960435
material multi/phongDirectional, 0.0001647, 14.0851757, 14.0853404
material multi/phongPointFar, 0.0002002, 11.9644643, 11.9646645
material multi/phongDirectionalFar, 0.0001603, 11.0223022, 11.0224625
material multi/matteGlossyReflective, 0.0025588, 25.7873919, 25.7899507
material multi/glossy, 0.0021528, 49.0851302, 49.087283
material high/AmbientLight, 0.0003401, 24.8121446, 24.8124847
material high/EnvironmentLight, 0.0014116, 62.9814003, 62.9828119
material high/AmbientOcclusion, 0.0013835, 51.3656257, 51.3670092
material high/AmbientOclusionEnvironmentLight, 0.002521, 99.1075485, 99.1100695
material high/matte, 0.00025, 31.6598967, 31.6601467
material high/phongReflective, 0.0003652, 43.4408449, 43.4412101
material high/phongPoint, 0.0002766, 33.3538847, 33.3541613
material high/phongDirectional, 0.0002965, 31.3575308, 31.3578273
material high/phongPointFar, 0.0003027, 26.0189062, 26.0192089
material high/phongDirectionalFar, 0.0002688, 23.6837098, 23.6839786
material high/matteGlossyReflective, 0.0058633, 58.362662, 58.3685253
material high/glossy, 0.0047288, 112.7929149, 112.7976437
thinLens/renderPlaneCloseRegular, 0.0029657, 100.0400411, 100.0430068
thinLens/renderPlaneCenterRegular, 0.0001797, 100.1197283, 100.119908
thinLens/renderPlaneFarRegular, 0.0002491, 100.4451744, 100.4454235
thinLens/renderPlaneCloseRandom, 0.0006265, 25.8905431, 25.8911696
thinLens/renderPlaneCenterRandom, 0.0005259, 25.8622044, 25.8627303
thinLens/renderPlaneFarRandom, 0.0005496, 26.0361793, 26.0367289
thinLens/renderPlaneCloseMultiJittered, 0.0005245, 25.9655084, 25.9660329
thinLens/renderPlaneCenterMultiJittered, 0.0005648, 25.4254378, 25.4260026
thinLens/renderPlaneFarMultiJittered, 0.0005531, 25.6245919, 25.625145
areaLight/diskAreaLight, 0.00464, 26.7165153, 26.7211553
areaLight/sphereAreaLight, 0.0027044, 27.6612183, 27.6639227
areaLight/lanternAreaLight, 0.0061326, 36.5587653, 36.5648979
areaLight/checkerSphere, 0.1389475, 40.4925935, 40.631541
areaLight/planeGrid, 0.0028761, 19.9605544, 19.9634305
shapes/sphere, 0.000875, 0.5231661, 0.5240411
shapes/reflectiveSpheres, 0.0008877, 0.2926163, 0.293504
shapes/hollowCylinder, 0.0007896, 0.3017699, 0.3025595
shapes/solidCylinder, 0.0009773, 0.3150808, 0.3160581
shapes/insideSphere, 0.0007431, 0.3366589, 0.337402
shapes/sierpinskiGasket1, 0.0017907, 15.1452603, 15.147051
shapes/sierpinskiGasket2, 0.0013924, 34.5186623, 34.5200547
texture/discs, 0.0016646, 1.212725, 1.2143896
texture/box, 1.3085942, 1.3137883, 2.6223825
texture/boxes, 0.0014444, 2.937415, 2.9388594
texture/cylinder, 0.0010038, 1.1537337, 1.1547375
texture/earth, 1.2439185, 1.2248505, 2.468769
texture/plane, 0.0016742, 20.5685366, 20.5702108
texture/sphere, 0.0010277, 1.3449466, 1.3459743
texture/rectangles, 1.2775339, 2.5030387, 3.7805726
texture/marble, 1.3158356, 20.1936339, 21.5094695
transparency/sphere, 0.0013496, 2.8727995, 2.8741491
transparency/box, 0.0013833, 3.4704623, 3.4718456
transparency/boxes, 0.0034854, 8.3726861, 8.3761715
transparency/bunny, 0.3783548, 7.4878243, 7.8661791
transparency/urn, 0.0547549, 10.2490561, 10.303811
transparency/horse, 0.7930522, 4.5747647, 5.3678169
transparency/porsche, 0.1116969, 8.1543034, 8.2660003
transparency/water, 0.001449, 2.8373216, 2.8387706
transparency/lantern, 0.0013532, 19.3884, 19.3897532
transparency/die, 0.0027423, 8.2880421, 8.2907844
transparency/water glass, 0.0021143, 7.8667145, 7.8688288
transparency/fancy bunny, 1.6328068, 118.6055965, 120.2384033
transparency/fancy water glass, 0.3188979, 92.4686625, 92.7875604
shapes/sphere, 3.98E-05, 0.5051085, 0.5051483
shapes/reflectiveSpheres, 5.66E-05, 0.2834638, 0.2835204
shapes/hollowCylinder, 0.0001379, 0.3006567, 0.3007946
shapes/solidCylinder, 0.00012, 0.3079673, 0.3080873
shapes/insideSphere, 1.68E-05, 0.3306837, 0.3307005
shapes/sierpinskiGasket1, 0.0005049, 15.6784317, 15.6789366
shapes/sierpinskiGasket2, 0.0004338, 36.5909379, 36.5913717
affineTransformationsSimple/originBase, 0.6229885, 0.4209958, 1.0439843
affineTransformationsSimple/positiveBase, 0.0001935, 0.343723, 0.3439165
affineTransformationsSimple/rotateX_90, 0.0004477, 0.375847, 0.3762947
affineTransformationsSimple/rotateX_180, 0.0002024, 0.3846876, 0.38489
affineTransformationsSimple/rotateX_270, 0.0002525, 0.3691268, 0.3693793
affineTransformationsSimple/rotateY_90, 0.0010957, 0.3794112, 0.3805069
affineTransformationsSimple/rotateY_180, 0.0001666, 0.3726902, 0.3728568
affineTransformationsSimple/rotateY_270, 0.0001272, 0.3668998, 0.367027
affineTransformationsSimple/rotateZ_90, 0.0002859, 0.3734132, 0.3736991
affineTransformationsSimple/rotateZ_180, 0.0002238, 0.3770297, 0.3772535
affineTransformationsSimple/rotateZ_270, 0.0002583, 0.3720083, 0.3722666
affineTransformationsSimple/mirrorX, 0.0012806, 0.3838551, 0.3851357
affineTransformationsSimple/mirrorY, 0.0003019, 0.3775221, 0.377824
affineTransformationsSimple/mirrorZ, 0.0004178, 0.3685309, 0.3689487
affineTransformationsSimple/scaleX, 0.0004029, 0.4018192, 0.4022221
affineTransformationsSimple/scaleY, 0.000333, 0.3750252, 0.3753582
affineTransformationsSimple/scaleZ, 0.0002916, 0.3717157, 0.3720073
affineTransformationsSimple/sheareXY, 0.0012064, 0.3638369, 0.3650433
affineTransformationsSimple/sheareXZ, 0.0003259, 0.346545, 0.3468709
affineTransformationsSimple/sheareYX, 0.0003948, 0.3528283, 0.3532231
affineTransformationsSimple/sheareYZ, 0.0002849, 0.3645897, 0.3648746
affineTransformationsSimple/sheareZX, 0.0003376, 0.3621147, 0.3624523
affineTransformationsSimple/sheareZY, 0.0003494, 0.3430901, 0.3434395
affineTransformationsSimple/translateX, 0.0004403, 0.3698438, 0.3702841
affineTransformationsSimple/translateY, 0.0003085, 0.3526629, 0.3529714
affineTransformationsSimple/translateZ, 0.0003377, 0.368069, 0.3684067
affineTransformationsCSG/originBase, 0.0035322, 0.6787524, 0.6822846
affineTransformationsCSG/positiveBase, 0.0001904, 0.6881582, 0.6883486
affineTransformationsCSG/rotateX_90, 0.0001656, 0.7541124, 0.754278
affineTransformationsCSG/rotateX_180, 0.0002287, 0.7371885, 0.7374172
affineTransformationsCSG/rotateX_270, 0.0001821, 0.7235205, 0.7237026
affineTransformationsCSG/rotateY_90, 0.0001358, 0.7182133, 0.7183491
affineTransformationsCSG/rotateY_180, 0.0001687, 0.7266384, 0.7268071
affineTransformationsCSG/rotateY_270, 0.0001729, 0.7314157, 0.7315886
affineTransformationsCSG/rotateZ_90, 0.0001627, 0.7439072, 0.7440699
affineTransformationsCSG/rotateZ_180, 0.0002157, 0.7511592, 0.7513749
affineTransformationsCSG/rotateZ_270, 0.0001744, 0.7723666, 0.772541
affineTransformationsCSG/mirrorX, 0.0001711, 0.7315004, 0.7316715
affineTransformationsCSG/mirrorY, 0.0001655, 0.7751081, 0.7752736
affineTransformationsCSG/mirrorZ, 0.0001997, 0.7584729, 0.7586726
affineTransformationsCSG/scaleX, 0.0001623, 0.8942724, 0.8944347
affineTransformationsCSG/scaleY, 0.0001905, 0.802534, 0.8027245
affineTransformationsCSG/scaleZ, 0.0001416, 0.8899859, 0.8901275
affineTransformationsCSG/sheareXY, 0.0001272, 0.736758, 0.7368852
affineTransformationsCSG/sheareXZ, 0.0002587, 0.6890685, 0.6893272
affineTransformationsCSG/sheareYX, 0.0002031, 0.7214091, 0.7216122
affineTransformationsCSG/sheareYZ, 0.0001512, 0.7089906, 0.7091418
affineTransformationsCSG/sheareZX, 0.0001631, 0.7027957, 0.7029588
affineTransformationsCSG/sheareZY, 0.0001539, 0.7066006, 0.7067545
affineTransformationsCSG/translateX, 0.0001652, 0.7752607, 0.7754259
affineTransformationsCSG/translateY, 0.0002363, 0.8401848, 0.8404211
affineTransformationsCSG/translateZ, 0.0001972, 0.7594396, 0.7596368
implicitSurfaces/heart, 0.0963773, 3.8834335, 3.9798108
implicitSurfaces/sphere1, 0.0043371, 7.6460762, 7.6504133
implicitSurfaces/sphere2, 0.0032186, 0.2843566, 0.2875752
implicitSurfaces/planeX, 0.0031507, 0.3366913, 0.339842
implicitSurfaces/planeY, 0.0007142, 0.3626526, 0.3633668
implicitSurfaces/planeZ, 0.0007114, 0.4115907, 0.4123021
implicitSurfaces/torus, 0.0029642, 1.5379722, 1.5409364
implicitSurfaces/torus2, 0.002467, 1.4511357, 1.4536027
implicitSurfaces/linkTorus, 0.0035428, 119.9831319, 119.9866747
implicitSurfaces/testShape, 0.0026871, 1.4911506, 1.4938377
implicitSurfaces/chmutov2, 0.0014678, 0.3071573, 0.3086251
implicitSurfaces/chmutov3, 0.0005188, 2.7141162, 2.714635
implicitSurfaces/chmutov4, 0.0009395, 1.1060453, 1.1069848
implicitSurfaces/chmutov5, 0.0012581, 5.2310635, 5.2323216
implicitSurfaces/chmutov6, 0.0025703, 1.8136885, 1.8162588
meshes/icosahedron, 0.0054794, 1.6369292, 1.6424086
meshes/urn, 0.0044636, 3.1195232, 3.1239868
meshes/bunny, 0.503897, 4.1589669, 4.6628639
meshes/bunny texture, 1.1727479, 3.038947, 4.2116949
meshes/bunnyAO, 0.4666451, 63.0800231, 63.5466682
meshes/inside bunny, 0.4689892, 6.6753171, 7.1443063
meshes/bunnies small, 0.6352289, 7.8885849, 8.5238138
meshes/bunnies big, 1.3431622, 12.6735443, 14.0167065
meshes/spheres small, 0.0044547, 4.6085253, 4.61298
meshes/spheres big, 0.0087512, 6.1286525, 6.1374037
meshes/dragon, 6.654639, 3.6050631, 10.2597021
meshes/gold dragon, 6.4402966, 159.6632687, 166.1035653
meshes/happy, 8.6311082, 3.9069108, 12.538019
meshes/porsche, 0.0611023, 5.5448423, 5.6059446
meshes/horse, 0.6096952, 3.5052398, 4.114935
meshes/head, 23.5377775, 4.4863941, 28.0241716
meshes/vase, 3.0718114, 3.9634497, 7.0352611
meshes/armadillo, 8.7092017, 3.5569293, 12.266131
texture/discs, 0.0001091, 1.1767222, 1.1768313
texture/box, 1.2527236, 1.4083159, 2.6610395
texture/boxes, 0.0001601, 3.2062135, 3.2063736
texture/cylinder, 5.67E-05, 1.1548777, 1.1549344
